Наименование|Категория|Полное наименование|Мощность, кВт|Номинальная частота вращения, об/мин|Фактическая частота вращения, об/мин|Номинальный ток, А (при U=380В)|Напряжение, В|Количество полюсов|КПД, %|Коэфициент мощности, COS φ|Соотношение токов, Iп/Iн|Соотношение крутящих моментов, Mп/ Mн|Соотношение крутящих моментов, Mтах/ Mн|Габариты, мм|Масса, кг|Частота, Гц|Класс энергоэффективности|Класс изоляции|Класс изоляции|Метод охлаждения|Класс защиты (пылевлагозащита)|Климатическое исполнение|Подшипник со стороны привода, DE |Подшипник со стороны насоса, NDE|Цена
АИС100L2|Электродвигатели АИС|Электродвигатель АИС100L2 3 кВт 3000 об/мин|3|3000|2860|6.34|220/380 ( Δ / Y )|2|82.6|0.87|7.5|2.2|2.3|385х205х270|30|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|12831
АИС100L6|Электродвигатели АИС|Электродвигатель АИС100L6 1,5 кВт 1000 об/мин|1.5|1000|920|4|220/380 ( Δ / Y )|6|76|0.75|5.5|2|2.1|385х205х270|29|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|11185
АИС100LA2|Электродвигатели АИС|Электродвигатель АИС100LA2 4 кВт 3000 об/мин|4|3000|2850|8.2|220/380 ( Δ / Y )|2|84.2|0.87|7.5|2.3|2.2|385х205х270|25|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|15167
АИС100LA4|Электродвигатели АИС|Электродвигатель АИС100LA4 2,2 кВт 1500 об/мин|2.2|1500|1410|4.9|220/380 ( Δ / Y )|4|80|0.81|7|2.3|2.3|385х205х270|29|50|IE1|F|S1|IC411|IP55|У1|6314|6313|12771
АИС100LA8|Электродвигатели АИС|Электродвигатель АИС100LA8 0,75 кВт 750 об/мин|0.75|750|680|2.43|220/380 ( Δ / Y )|8|70|0.67|4|1.8|2|385х205х270|29|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |12434
АИС100LB4|Электродвигатели АИС|Электродвигатель АИС100LB4 3 кВт 1500 об/мин|3|1500|1410|6.78|220/380 ( Δ / Y )|4|82.6|0.82|7|2.3|2.3|385х205х270|31|50|IE1|F|S1|IC411|IP55|У1|6314|6314|14560
АИС100LB6|Электродвигатели АИС|Электродвигатель АИС100LB6 2,2 кВт 1000 об/мин|2.2|1000|820|5.6|220/380 ( Δ / Y )|6|77|0.76|5.5|2.1|2|385х205х270|25|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|17126
АИС100LB8|Электродвигатели АИС|Электродвигатель АИС100LB8 1,1 кВт 750 об/мин|1.1|750|680|3.36|220/380 ( Δ / Y )|8|72|0.69|5|1.8|2|385х205х270|31|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |14250
АИС100LC4|Электродвигатели АИС|Электродвигатель АИС100LC4 4 кВт 1500 об/мин|4|1500|1435|8.8|220/380 ( Δ / Y )|4|84.2|0.82|7|2.3|2.3|385х205х270|25|50|IE1|F|S1|IC411|IP55|У1|6317|6314|19719
АИС112L2|Электродвигатели АИС|Электродвигатель АИС112L2 5,5 кВт 3000 об/мин|5.5|3000|2880|11.1|220/380 ( Δ / Y )|2|85.7|0.88|7.5|2.2|2.3|400х226х290|29.3|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|19648
АИС112L6|Электродвигатели АИС|Электродвигатель АИС112L6 3 кВт 1000 об/мин|3|1000|935|7.4|220/380 ( Δ / Y )|6|81|0.77|6.5|2.1|2.1|400х226х290|30|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|19249
АИС112M2|Электродвигатели АИС|Электродвигатель АИС112M2 4 кВт 3000 об/мин|4|3000|2880|8.2|220/380 ( Δ / Y )|2|84.2|0.88|7.5|2.2|2.3|400х226х290|41|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|16444
АИС112M4|Электродвигатели АИС|Электродвигатель АИС112M4 4 кВт 1500 об/мин|4|1500|1435|8.8|220/380 ( Δ / Y )|4|84.2|0.82|7|2.3|2.3|400х226х290|42|50|IE1|F|S1|IC411|IP55|У1|6317|6314|17684
АИС112M6|Электродвигатели АИС|Электродвигатель АИС112M6 2,2 кВт 1000 об/мин|2.2|1000|935|5.6|220/380 ( Δ / Y )|6|79|0.76|6.5|2|2.1|400х226х290|41|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|15438
